order_id,created_at,put_at,closed_at,issued_sum
400001732,2022-06-02 00:00:23.997,2022-06-02 20:18:00.180,2022-10-17 11:52:22.190,13600.0
400005838,2022-06-02 00:10:22.997,2022-06-02 15:41:33.267,2022-06-02 17:38:43.917,20000.0
400007915,2022-06-02 00:18:04.000,2022-06-05 19:17:38.547,2022-06-21 21:55:51.877,5820.0
400008952,2022-06-02 00:22:07.000,2022-06-03 14:25:18.033,2022-07-12 10:47:46.307,9000.0
400009027,2022-06-02 00:25:39.000,2022-06-02 00:40:40.320,2022-06-22 14:15:07.423,5000.0
400010534,2022-06-02 00:46:35.000,2022-06-02 11:42:04.560,2022-07-14 22:15:19.217,14600.0
400013633,2022-06-02 00:46:38.000,2022-06-02 00:47:46.277,2022-06-16 03:15:48.960,9500.0
400014289,2022-06-02 01:12:32.000,2022-06-02 01:14:07.683,2022-06-06 15:04:37.347,10000.0
400014330,2022-06-02 01:13:39.997,2022-06-02 10:56:18.277,2022-06-13 12:16:33.123,5430.0
400014464,2022-06-02 01:17:28.000,2022-06-02 01:22:27.323,2022-06-06 16:29:00.720,3000.0
400015650,2022-06-02 01:21:03.997,2022-06-02 01:22:39.567,2022-06-02 18:24:34.800,2000.0
400017109,2022-06-02 01:24:35.000,2022-06-12 20:21:17.750,2022-08-13 12:52:38.240,3450.0
400017255,2022-06-02 01:35:50.997,2022-06-02 22:25:52.367,2022-07-10 23:41:17.397,5430.0
400017748,2022-06-02 01:38:27.997,2022-06-02 01:43:41.537,2022-06-09 05:47:45.863,9000.0
400018346,2022-06-02 01:43:44.000,2022-06-03 10:42:56.227,2022-06-10 16:54:21.907,10000.0
400018480,2022-06-02 01:49:25.997,2022-06-02 01:50:35.530,2022-06-13 13:10:04.890,4070.0
400020168,2022-06-02 02:19:32.000,2022-06-02 03:13:16.420,2022-10-31 14:15:23.383,13200.0
400024960,2022-06-02 02:27:40.997,2022-06-02 03:40:08.793,2022-06-16 13:28:38.057,9500.0
400027696,2022-06-02 02:32:49.997,2022-06-02 02:35:23.343,2022-06-14 06:54:18.577,7000.0
400028637,2022-06-02 02:39:56.997,2022-06-20 18:45:57.613,2022-07-07 13:26:43.847,4000.0
400029446,2022-06-02 04:11:47.997,2022-06-02 04:13:52.993,2022-06-17 01:41:07.480,8140.0
400030345,2022-06-02 04:40:08.000,2022-06-04 08:48:41.147,2022-09-15 14:24:59.363,6790.0
400031819,2022-06-02 04:46:28.000,2022-06-02 04:49:19.320,2022-06-29 16:24:18.703,14930.0
400032001,2022-06-02 04:47:30.997,2022-06-02 04:54:05.770,2022-07-30 22:06:36.690,13200.0
400032274,2022-06-02 05:09:57.000,2022-06-02 05:14:05.953,2022-06-13 12:06:34.533,14930.0
400033195,2022-06-02 05:16:37.000,2022-06-02 05:38:54.420,2022-07-15 08:11:49.610,6850.0
400036768,2022-06-02 05:17:29.997,2022-06-02 05:18:31.150,2022-06-04 14:42:33.103,9000.0
400037481,2022-06-02 05:25:09.000,2022-06-02 05:36:48.277,2022-06-05 07:06:11.377,2000.0
400037917,2022-06-02 05:38:51.000,2022-06-02 05:40:18.987,2022-06-12 12:53:21.803,10850.0
400038320,2022-06-02 05:51:21.000,2022-06-02 05:56:14.237,2022-07-22 01:31:29.507,3450.0
400039407,2022-06-02 05:59:45.997,2022-06-02 06:44:46.667,2022-06-02 06:53:54.503,10000.0
400039450,2022-06-02 06:06:20.000,2022-06-02 17:04:46.147,,8140.0
400041494,2022-06-02 06:06:50.997,2022-06-23 06:23:09.337,2022-07-05 06:32:03.647,3000.0
400043486,2022-06-02 06:07:08.997,2022-06-02 13:08:40.800,2022-06-10 15:08:39.913,5430.0
400044119,2022-06-02 06:08:32.997,2022-06-12 11:47:42.550,2022-09-18 11:39:54.910,4070.0
400053373,2022-06-02 06:09:21.997,2022-06-02 07:06:11.803,2022-06-23 10:04:07.853,12210.0
400053811,2022-06-02 06:12:25.000,2022-06-02 06:14:17.333,2022-08-23 17:10:52.073,5820.0
400054275,2022-06-02 06:13:46.000,2022-06-03 20:00:37.780,2022-06-07 16:12:17.973,8000.0
400056138,2022-06-02 06:16:52.000,2022-06-02 06:20:15.150,2022-09-23 22:05:12.170,8140.0
400056232,2022-06-02 06:16:55.000,2022-06-02 06:20:07.087,2022-06-16 14:18:19.170,9000.0
400059626,2022-06-02 06:17:38.997,2022-06-02 06:20:28.320,2022-06-15 10:29:32.600,10000.0
400063286,2022-06-02 06:19:23.997,2022-06-02 06:20:51.967,2022-06-20 06:04:57.377,16070.0
400064814,2022-06-02 06:19:23.997,2022-06-02 06:21:45.087,2022-06-07 12:50:16.040,20000.0
400071214,2022-06-02 06:20:54.000,2022-06-02 06:36:57.893,2022-09-03 08:38:36.343,10220.0
400073383,2022-06-02 06:21:18.997,2022-06-03 22:30:44.227,2022-06-04 01:55:27.653,10000.0
400074267,2022-06-02 06:22:15.000,2022-06-02 06:47:21.067,2022-06-10 18:11:34.093,4000.0
400075533,2022-06-02 06:25:15.000,2022-06-04 03:06:02.810,2022-09-21 04:22:59.263,6790.0
400077292,2022-06-02 06:27:16.997,2022-06-02 06:32:42.960,2022-08-08 00:55:34.410,16900.0
400079780,2022-06-02 06:39:33.000,2022-06-02 06:45:05.520,2022-07-05 13:11:39.740,5820.0
400081335,2022-06-02 06:39:54.000,2022-06-02 06:41:03.980,2022-06-10 18:08:37.610,12210.0
400081766,2022-06-02 06:39:54.000,2022-06-03 22:09:35.770,2022-07-31 09:11:49.747,2920.0
400082432,2022-06-02 06:40:11.997,2022-06-04 15:53:52.783,2022-07-14 09:32:04.240,4070.0
400084027,2022-06-02 06:48:20.000,2022-06-02 06:50:27.513,2022-06-03 22:54:08.960,7000.0
400087077,2022-06-02 06:49:06.997,2022-06-02 06:50:21.053,,2920.0
400089436,2022-06-02 06:49:33.997,2022-06-02 06:53:05.893,2022-06-11 03:16:43.397,3000.0
400090833,2022-06-02 06:49:51.997,2022-06-02 07:15:26.877,2022-06-30 17:00:41.140,5820.0
400095589,2022-06-02 06:57:53.997,2022-06-02 15:14:56.830,2022-08-30 18:18:40.460,1720.0
400097284,2022-06-02 07:02:11.997,2022-06-02 07:05:24.367,2022-07-05 20:07:01.083,5430.0
400097568,2022-06-02 07:08:52.997,2022-06-02 07:34:06.917,2022-09-04 08:57:40.200,13570.0
400099279,2022-06-02 07:10:15.000,2022-06-04 17:54:07.407,2022-06-06 16:44:49.677,10000.0
400100280,2022-06-02 07:15:43.000,2022-06-04 01:18:15.107,2022-08-27 22:15:34.913,5430.0
400102979,2022-06-02 07:23:25.000,2022-06-02 20:10:35.873,2022-11-27 18:02:00.910,14600.0
400104071,2022-06-02 07:24:24.000,2022-06-02 07:40:44.230,,1720.0
400104225,2022-06-02 07:28:34.000,2022-06-02 07:31:21.750,2022-06-10 23:10:07.827,1000.0
400104958,2022-06-02 07:31:54.000,2022-06-02 07:33:04.927,2022-06-12 11:35:42.370,8000.0
400107932,2022-06-02 07:32:29.997,2022-06-02 11:07:31.857,2022-06-02 20:23:25.977,15000.0
400111709,2022-06-02 07:42:34.997,2022-06-05 12:29:57.550,2022-06-13 04:34:21.320,5000.0
400114009,2022-06-02 07:46:38.000,2022-06-02 07:54:54.360,,13600.0
400115407,2022-06-02 07:48:37.000,2022-06-02 15:59:37.730,2022-07-21 09:36:14.720,16280.0
400115567,2022-06-02 08:02:52.997,2022-06-02 08:20:59.147,2022-07-21 19:04:44.077,8740.0
400116494,2022-06-02 08:03:32.000,2022-06-02 08:08:00.700,2022-10-29 09:55:17.957,13200.0
400116759,2022-06-02 08:05:44.000,2022-06-12 01:29:17.920,2022-08-06 18:01:51.980,16900.0
400117056,2022-06-02 08:05:53.997,2022-06-03 23:49:43.010,2022-09-16 09:11:45.797,10220.0
400118000,2022-06-02 08:11:55.000,2022-06-02 08:29:09.117,2022-08-17 14:36:45.013,8500.0
400123081,2022-06-02 08:15:04.000,2022-06-02 08:16:19.040,2022-06-17 12:45:18.507,6000.0
400126029,2022-06-02 08:23:24.997,2022-06-02 08:35:22.350,2022-08-27 21:33:19.363,11680.0
