order_id,plan_at,plan_sum_total
400001732,2022-06-02,5600.0
400001732,2022-07-02,9450.0
400001732,2022-08-01,12170.0
400001732,2022-08-31,14890.0
400001732,2022-09-30,17610.0
400001732,2022-10-30,20330.0
400001732,2022-11-29,23050.0
400005838,2022-06-17,23000.0
400007915,2022-06-05,1820.0
400007915,2022-06-20,2730.0
400007915,2022-07-05,3288.19
400007915,2022-07-20,3817.28
400007915,2022-08-04,4346.370000000001
400007915,2022-08-19,4875.460000000001
400007915,2022-09-03,5404.55
400007915,2022-09-18,5933.64
400007915,2022-10-03,6462.7300000000005
400007915,2022-10-18,6991.820000000001
400007915,2022-11-02,7520.910000000001
400007915,2022-11-17,8050.000000000001
400007915,2022-12-02,8579.1
400008952,2022-06-18,12628.36
400009027,2022-06-17,6013.7
400010534,2022-06-02,4600.0
400010534,2022-06-17,6900.0
400010534,2022-07-02,9417.67
400010534,2022-07-17,11382.03
400010534,2022-08-01,12709.3
400010534,2022-08-16,14036.57
400010534,2022-08-31,15363.84
400010534,2022-09-15,16691.11
400010534,2022-09-30,18018.38
400010534,2022-10-15,19345.65
400010534,2022-10-30,20672.920000000002
400010534,2022-11-14,22000.190000000002
400010534,2022-11-29,23327.49
400013633,2022-06-02,2500.0
400013633,2022-06-09,3750.0
400013633,2022-06-24,5079.13
400013633,2022-07-09,5942.76
400013633,2022-07-24,6806.39
400013633,2022-08-08,7670.02
400013633,2022-08-23,8533.65
400013633,2022-09-07,9397.28
400013633,2022-09-22,10260.91
400013633,2022-10-07,11124.54
400013633,2022-10-22,11988.17
400013633,2022-11-06,12851.8
400013633,2022-11-21,13715.5
400014289,2022-06-17,11500.0
400014330,2022-06-02,1430.0
400014330,2022-06-09,2145.0
400014330,2022-06-24,2790.67
400014330,2022-07-09,3284.3
400014330,2022-07-24,3777.93
400014330,2022-08-08,4271.56
400014330,2022-08-23,4765.19
400014330,2022-09-07,5258.82
400014330,2022-09-22,5752.45
400014330,2022-10-07,6246.08
400014330,2022-10-22,6739.71
400014330,2022-11-06,7233.34
400014330,2022-11-21,7727.04
400014464,2022-06-17,3450.0
400015650,2022-06-17,2300.0
400017109,2022-06-12,1450.0
400017109,2022-07-12,2390.0
400017109,2022-08-11,3080.0
400017109,2022-09-10,3770.0
400017109,2022-10-10,4460.0
400017109,2022-11-09,5150.0
400017109,2022-12-09,5840.0
400017255,2022-06-02,1430.0
400017255,2022-06-09,2145.0
400017255,2022-06-24,3208.77
400017255,2022-07-09,4000.98
400017255,2022-07-24,4507.94
400017255,2022-08-08,5001.57
400017255,2022-08-23,5495.199999999999
400017255,2022-09-07,5988.829999999999
400017255,2022-09-22,6482.459999999999
400017255,2022-10-07,6976.089999999999
400017255,2022-10-22,7469.719999999999
400017255,2022-11-06,7963.349999999999
400017255,2022-11-21,8457.05
400017748,2022-06-17,10350.0
400018346,2022-06-18,11500.0
400018480,2022-06-02,1070.0
400018480,2022-06-09,1605.0
400018480,2022-06-24,2088.96
400018480,2022-07-09,2458.96
400018480,2022-07-24,2828.96
400018480,2022-08-08,3198.96
400018480,2022-08-23,3568.96
400018480,2022-09-07,3938.96
400018480,2022-09-22,4308.96
400018480,2022-10-07,4678.96
400018480,2022-10-22,5048.96
400018480,2022-11-06,5418.96
400018480,2022-11-21,5788.96
400020168,2022-06-02,4200.0
400020168,2022-06-17,6300.0
400020168,2022-07-02,8490.0
